,title,reviews_number,reviews_id,reviews_content
0,英雄,1,PolishBear,"Some reviewers have suggested that the storyline of this movie is a bit plodding and portentous, and I'd be willing to allow that. But even if this film had absolutely no plot to speak of, I would have considered the money I plunked down yesterday to see ""Hero"" to be money well-spent, because I have been witness to some of the most achingly beautiful film-making I've ever seen. As in ""Crouching Tiger, Hidden Dragon,"" the characters here fly through the air and dance across water, but ""Crouching Tiger"" surely could have benefited from the sublime camera eye of ""Hero."" One scene of swordplay in particular that takes place in a grove of trees amongst swirling yellow leaves almost stopped my heart in my chest: It was that gorgeous. And yes, there is a plot also, one that involves various assassins with names like Sky, and Broken Sword, and Flying Snow. I have to admit that the tales and counter-tales told were a bit confusing at first, but by the time the film is over, all the pieces have fallen into place, and this chapter of ancient Chinese history has assumed a truly mythical quality. At a time when movie theaters show a lot of utter dreck, we ought to be supporting movies like this."
1,英雄,2,rserrano,"Hero is noteworthy on at least two counts.First, there are scenes of haunting beauty(""Duel in the yellow forest"" and ""Turquoise autumn"" to site a couple) that, like the best of impressionist paintings, are so affecting that you will forever see the world in a slightly different way having once beheld them.Secondly, the overall message of the film is a provocative one. The claim is that a degree of human casualties and suffering may be the optimal path to a better world, especially when the alternative is equally brutal chaos. This is not a popular theme. It has become much more fashionable to be anti-war in all cases. And understandably so, since variations of this logic have often been used in the past to justify atrocities. But the film provides a crisp litmus test for avoiding delusion: action must be taken with a heart void of malice and an unwavering commitment to the broadest possible ultimate outcome of good for all. Can anyone live up to this standard? Several characters in the movie do, each in their own way. If the standard could be met, would the world be a better place? These are questions worth reflecting on that have not been dealt with, to this depth, in any film I'm aware of."
2,英雄,3,horna-nsbm-proud,"Beautiful story, albeit a little a little convoluted, beautiful characters and sexy actress in a superb action movie.What else could anyone ask for?"
3,英雄,4,tacfoa,"I have no idea how the script and directing and cinematography came together, but whatever the formula it is a film that slows you to think, to enjoy the screen and gives you action. The almond eyed beauty is also thin and comely."
4,英雄,5,rcropperUK,"Rarely have I been so astounded by such a magnificent, awe-inspiring film. If you have not yet placed your eyes on this masterpiece of Chinese cinema then I cannot recommend this film highly enough. 'Hero' is by far the best Chinese film I have ever seen, and already a firm favourite of all time.The imagery is unparallelled, simply draw-droppingly near perfect scenes, with bold and vibrant use of colour, symbolism and scenery. The fluent flow of the storyline, the delicate direction of the sword slicing action, the Chinese cultural concepts and the emotionally charged scenes between characters combine to produce a simply remarkable achievement. This film has a few elements from Crouching Tiger Hidden Dragon, but is far, far superior in every way. The sleek direction from Yimou Zhang is so perfectly done, just imagine two martial arts experts ensuing in battle against each other, defying the laws of physics as we know it, and yet following them in 360 degrees in slow motion as one deflects a droplet of rain from one sword to the other, at the same time spinning and leaping over water... simply beautiful. The attack sequences are also superbly set, with hundreds of thousands of the King's warriors in formation, simultaneously firing enough arrows into the city which literally cover the sky, in addition to the viewer being able to watch the journey of a single arrowhead aimed during this event. The build up to the attack along with the unnerving tune of a Chinese stringed instrument help you, as the audience, to become firmly engrossed in your seat. The individual martial arts is also second to none, for myself particularly to see the distant shots of the whole battle sequence showing the true skills involved with fighting, such as footwork, perfect timing,aggression, counter attacks and defence. Jet Li shows he is truly the grand daddy of martial arts. I cannot stress enough how much you need this film in your life. The colourful imagery imposed by the director will take your breath away with luscious, vivid, bright, wind-blown,draped backgrounds as the setting for the important progression of the story. Even the story itself is brought to the audience in such a way which ensures your undivided attention, as there are twists in the tales and hidden plots which do not develop until the end of the film.Even short individual scenes are memorable due to their sheer awesome display of skill and speed. This film even holds a political message which is relevant to all times, especially in today's American-lead world dominance. This film has absolutely everything - including an extremely sexy young Ziyi Zhang who simply is the biggest hype to come out of china since SARS. This film was released in 2002, but this is certainly one of my all time favourites and will probably be the best film I see all year. I have never been more enthusiastic to pursue films in this genre in my life. For more action type enthusiasts who like more gore and violence check out 'Ong Bak', but for people who appreciate a fuller, visionary piece of martial arts filming, this will leave you speechless."
5,英雄,6,mrwiseguy,"While i enjoyed this movie very much, i believe Hero will get the kinds of reviews and responses that Crouching Tiger Hidden Dragon (CTHD) did, and still does, ie. either you liked it very much, or you couldn't see what the fuss was all about.  This dichotomy of opinions makes for interesting study because it seems to cut across cultural and intellectual differences. Everywhere the film is shown, there will a segment of the audience that will love and rave about it, and another segment that will be wondering if they had been watching the same movie.  I can't explain why this is so, but i suspect it has a lot to do with a viewer's initial expectation of the movie, and then his perception and appreciation of the nuances in the telling of the storyline.Hero is a film that is beautiful in many aspects.  The direction and photography is artsy without being pretentious.  Every shot is worthy of being a work of art in itself.  The language spoken is traditional mandarin, but oh, so easy to the ear, even though i couldn't understand every word. (I don't think Tony's and Maggie's voices were dubbed, but i could be mistaken).  The main characters were very well acted out, especially that of the role of the Qin Emperor.  Zhang Ziyi's character was largely insignificant though, so i think she's been put in to add some star power to the production.  The fighting scenes are unusual by most standards, employing an interesting combination of CGI and real action.  Some of the powers that the characters possess appear too amazing to be true, but remember that some of the fights only took place in the fighters' imagination.  The music, though quite similar to that in CTHD, is appropriate, and sticks hauntingly to the back of your mind long after the movie is over.I went to the cinema having heard some of the hype leading to the movie, but with no real knowledge of the storyline, and not expecting a lot.  I think that helped me enjoy the movie more, because the way the story unfolded actually set me thinking and anticipating in a manner that i could not have had i known more about the storyline.  The message at the end of the movie is simple, but certainly open for debate.  In fairness, i don't think the director attempted to provide an answer, as to whether the decision made by the Nameless One was the correct one or not, but rather to ask questions. I'd better not give out too much here, but it certainly set me thinking about things for a little while after the show had ended.  These days, any movie that can get me pondering after the credits go down has got to be pretty good.Overall an excellent movie.  I'm sure some areas could be better, but i can't think of any right now.  Highly recommended.Score: 8.5/10"
6,英雄,7,the_usual_suspect,"After two years of hearing about the myth of the most expensive Chinese film ever made, Hero has finally floated on to British cinema screens. As it flies, it trails a coloured cloth that carries the film's numerous morals and messages which descend upon you like a soft layer of fabric. This is a film that can lift your spirits and have you laughing out in sheer joy as you gaze in wonder at the perfection of the mise-en-scene and cinematography. That is, if you let the film take you on a journey, without pondering the films questionable plot points.Hero is two sides of a tale as presented by Nameless (Jet Li), a mere Prefect who defeated three deadly assassins, and the King of Qin (Daoming Chen), the man the assassins wished to kill. Nameless weaves his heroic though modest story of how he killed the assassins, but the King remains unconvinced, spinning his own version of how he believed events unfolded.Director Yimou Zhang takes us through Nameless' story first, spreading the battle sequences thick, allowing them to take their own time. In the King's version, certain battles are then revised, which is remarkably brave considering that some battles are utter fabrications. In one such fictitious fight, in a faultlessly designed set, Nameless and Sky (Donnie Yen) close their eyes and fight out the battle within their minds. Screen time is being spent lavishly on showing how two characters contemplated a fight, whilst fighting each other in a battle that never occurred. It is confusing certainly, but perhaps Zhang wished for his audience to get lost in the plot's design so that they would not question the warrantability of half of the battle sequences, which make up most of the film.Yet, it is difficult to ponder these details when they are made so utterly insignificant when viewing such a spectacle. The sheer beauty of the battles, the gentle floating of the assassins as they fly around their arenas (which range from a forest full of orange leafed trees, crisp leaves falling down to the ground like rain, to the crystal clear and calm of a mountain lake), the costumes of characters at varying stages in the story line (red for passion, green for youth, white for truth, blue for love), the amazing army scenes which feature thousands of arrows being fired into the sky to create a black cloud that descends right on top of the camera, all these elements combine to produce a faultlessly perfect image on the screen, each frame a worthy photograph that gently reminds you why cinema is the greatest art form of the twentieth century.And characterisation is not lost in this beauty as one may have feared. Despite the irritating two dimensional performance of Zhang Ziyi as Moon, the other actors carry off fine performances, especially Tony Leung Chiu Wai as Broken Sword and Daoming Chen as the King. Their performances are especially credible as they are often drowning in the memories of the King and Nameless - they need to change slight mannerisms in order to reflect whose mind they are now in.The script too is of an impressively high standard. The moments of clarity that the warriors feel are experienced by the audience also, and there are some very informed outlooks of the emptiness of warfare, communicating that to achieve peace, sometimes war is the only option. These messages of course seem fitting in our current times, underlining how ancient some of the methods of our governing body truly are. Hero is undoubtedly a most beautiful and awe inspiring film. What it lacks in plot substance, it makes up for with structure and script. It elaborates on the ground work created by 'Crouching Tiger' and is an experience that I would encourage you to seek out, as long as you are willing to submit to the film and let it guide you through its world on its own terms.Rating: 4/5"
7,英雄,8,DP-4,"Before I give my review, let me offer one suggestion that will help you appreciate this film. DO NOT SEE IT JUST ONCE. Watch it twice and then pass judgment. The film is so visually and artistically captivating that the plot can be harder to grasp the first time around. The second time around you'll get a better appreciation for the film.I viewed this film with high expectations. People were comparing it with Crouching Tiger and I really enjoyed that film. Within the first 10 minutes you understand why the comparisons are made. The cinematography, editing, music and special effects are similar. The stories, however, are quite different, and I found the story to be better than the one in Crouching Tiger.The story is about an assassin who concocts a plan to kill a king who had been trying to conquer his home land in pre-unified China. His assassination plan requires him to get close enough to the king to strike him dead. The movie shows the assassin's plan through a series of flashbacks, and culminates with the assassin getting his chance to kill the king.The beauty of this film is the how the assassin becomes a ""Hero"". I won't spoil how he achieves this, but that is what made the film great for me. It made the film more than just a visual and musical masterpiece. It also made it more than just a Kung Fu picture. It actually added a decent plot to the film which made it worth while. Honestly, I was just expecting a good Kung Fu picture. Hero is actually a great overall movie which just happens to accent the film with some of the best Kung Fu action in recent years.Definitely the best movie that I have seen this year. I hope it wins big at the awards ceremonies. It was impressive.-- DP."
8,英雄,9,Thalia115,"A few things about this film struck me. My background coming into it is as an East Asian Studies major - I studied the language, culture, literature, film, history, religion, and politics of China. This was all done in undergrad so I am by no means the last word on the subject.First of all, I noticed heavy use of Daoist symbols. The five elements were used - one per fight - fire, wind, water, wood, and metal. A message in the film seemed to show the Daoist idea that the harder you try, the worse you do, as Moon did in her fights. On the other hand, if you can go with the Dao (think: Use the force, Luke), you will succeed.Second, I did not know before watching the film that it was Zhang Yimou's. His films are often critical of the Chinese Communist Party and sometimes have deep allegorical meaning. Some of his films are banned in China. Hero, on the other hand, seemed to be intensely nationalistic. Lately in China, the communist government has promoted nationalism (instead of populist Communist values as they did pre-1976) with a great degree of success. The use of the word ""Tianxia"" (literally ""all under heaven,"" translated in the movie was ""Our Land"") seems Confucian and nationalistic at the same time. Although I would have not guessed this film was by Zhang Yimou from the plot or message, the cinematography was unmistakable. Hero eerily reminded me of another film, Yellow Earth (Huang Tudi), which Zhang Yimou did not direct but for which he did the cinematography.Third, historically, Hero lacked in a few very obvious places. The Qin Emperor, Qin Shi Huang, was legendary for his fear of death and his Machiavellian rule. When his character states that he no longer fears death because of Broken Sword's words and invites Nameless to kill him, he is entirely breaking with the true historical figure of the emperor. Remember, this is the emperor who built an entire terracotta army to protect him from his enemies in death and spent a lot of money and effort looking for the secret to reach immortality. He was known for a Confucian philosophy spin-off known as Legalism, which is very similar to Western Machiavellianism. While his quick mind (or his advisor's) might have figured out Nameless's plot, he would never have hesitated in executing him.Overall, this seems like a break from the usual genre one would expect from Zhang Yimou. I am not sure exactly what message he is trying to convey with this film, other than an endorsement of Chinese nationalism and perhaps Daoism as well."
9,英雄,10,simon_booth,"It sounded like a HK Cinema fan's ultimate wet dream... Zhang Yimou to direct a martial arts epic with Jet Li, Maggie Cheung, Leung Chiu Wai, Zhang Ziyi and Donnie Yen in the cast, Ching Siu-Tung doing the action, Christopher Doyle the cinematography and Emil Wada the costumes. What more could you ask for? (Well, Brigitte Lin coming out of retirement and Yuen Wo Ping and Sammo Hung sharing the action director credits, perhaps).I guess we have CROUCHING TIGER HIDDEN DRAGON to thank for making the wu xia world bankable again, and generating the interest and investment required to bring a project of this stature together. There's no doubt that the US Market was a major target, and US$ went into the funding. Given this it's a tragedy that Yimou let Miramax get their paws on it and effectively ruin any chances it had of major US successApart from Zhang Ziyi and the Tan Dun soundtrack (a terrible choice no doubt enforced by US investors), CROUCHING TIGER HIDDEN DRAGON is not a good reference point by which to evaluate HERO. Much more appropriate is Wong Kar Wai's ASHES OF TIME, with which it shares two lead actors and a cinematographer. HERO is definitely more commercially oriented, but shares a beauty and philosophical richness with AOT, and a certain melancholy mood.The story of HERO starts off quite simply, as Jet Li begins to recount his martial triumphs to the Emperor of Qin. The tale is told in flashbacks which revisit and re-evaluate the same events, elaborating on and changing the story as we learn more. It's reminiscent of Akira Kurosawa's RASHOMON, and is a great way of developing a mystery thriller. Zhang Yimou handles the building of the tale expertly, as one would expect from such a master film maker.Zhang Yimou himself is such an accomplished cinematographer he hardly needed to hire somebody else for the job - but if there's anybody better than Yimou it's Christopher Doyle. I wonder how much conflict there was on set though, as I am sure each had very strong visions of how they wanted scenes to look. The result doesn't show any signs of it if such a conflict occured though, as the visual style seems exceptionally strong and focussed throughout. A large part of this is Yimou's use of bold colours to delineate the different sections of the story (The green, the red, the yellow, the blue, the white). With Emil Wada's stunning costumes and the great choice of locations, HERO is almost as rich in stunning imagery as ASHES OF TIME. It's a true work of art, harking back to Yimou's older films like SHANGHAI TRIAD and RAISE THE RED LANTERN - I'm really pleased to see him making such visual films again. The visuals are sometimes let down by some unconvincing CGI effects, unfortunately.Zhang Yimou has never directed an action movie before, so people were clearly worried he wouldn't know what to do with the fight scenes that a wu xia movie needs more than anything else. It's been quite a few years since Ching Siu Tung has produced any really impressive work too, so I was rather worried - especially when I heard (from good authority) that Yimou had Ching had clashed on set. Apparently Zhang wanted more grounded, realistic kung fu, which really isn't Ching Siu Tung's thing (should have got Sammo or Yuen Wo Ping!). I guess Ching got the upper hand in the end, as the fight scenes are certainly not grounded or realistic - they're very much about the twirling and whirling and the graceful flying that Ching Siu Tung virtually defined. They're not as manic as he usually makes the action when he directs himself, though - a fact that sometimes makes the wirework look a bit awkward.A real surprise is that the weakest fight scene of the film is that one that pits the two best martial artists together. Jet Li vs. Donnie Yen opens the film with some sword vs. spear action. There's some beautiful moments, but I felt the scene lacked impact and featured some awkward moves too. Oddly enough, the fight I enjoyed the most featured no real martial artistry at all - Maggie Cheung vs (well, you'll see) in a beautiful autumnal scene of falling leaves. I guess that's because Ching Siu Tung is really not working to his strengths when he tries to do ""real"" martial arts.I had held off watching HERO for months, because as soon as I got the first released DVD (the DVD-5 from Guang Dong Face Ah) it was announced that the extended version of the film would be released in a few weeks. It's generally well known now that Zhang Yimou was persuaded to cut about 20 minutes from the film by the hatchet men at MiramAXE, who really must die first when the revolution comes. I figured the first time I see it I should see the best possible version, for maximum impact, so I was willing to wait. Well it's been 2 months now and the extended version is now indefinitely delayed due to legal issues, so I finally gave in and watched the DVD I'd had lying around for so long. Now that I've seen it I have to say I don't really see what another 20 minutes would add to the film - it seems quite complete and well paced at about 95 minutes. A little more development of Donnie Yen's character would be nice, but other than that it's hard to imagine what is missing. Longer action scenes maybe? Or perhaps just 20 minutes of Christopher Doyle's beautifully composed landscape shots, or close ups of Maggie Cheung dying.I'm glad I waited to see the film anyway though, as it allowed all the hype and anticipation to die down.  Unfortunately, when a film is as highly anticipated as this it's inevitable that there will be ""backlash syndrome"" as people feel let down that it wasn't the ultimate movie of all time they heard/hoped it would be (it was amusing to watch the reviews on CROUCHING TIGER swing between ""incredible"" and ""awful"" as hype waves ruined the experience for many, and I'm sure the same will happen with HERO).Zhang Yimou is an extremely talented director in many respects, but perhaps the greatest is his ability to get incredible performances out of his cast. With such an illustrious cast on board he perhaps felt he didn't need to try as much though (or they weren't willing to listen), as the acting isn't as powerful as I had expected. It's still of a very high quality, but doesn't evoke the same strong emotions as some of the performances in ASHES OF TIME. Leung Chiu-Wai gets the top award for acting though, which will surprise few people. Zhang Ziyi only has a small part, but shows a lot of talent too - nice to see such skill in somebody that still has most of her career ahead of her. Of course, it was Zhang Yimou that discovered and nurtured her talent in THE ROAD HOME.There are only two disappointments in HERO, for me. One is the special effects, which aren't up to the very latest standards. A little less use of CGI would have made it go a lot further (like in CTHD). The other is the soundtrack, which is really just much too similar to the Crouching Tiger soundtrack. It doesn't fit HERO as well, but it is still pretty evocative and effective - just too similar to CTHD.I still intend to pick up the extended version of HERO when it's released, to see what Zhang Yimou's ideal vision for the film was. Even running shorter than he really wanted it's a mighty fine film though, and one I have no hesitation in recommending if anybody hasn't seen it yet. If MiramAXE ever do get round to releasing it in the US, I hope it does well."
